title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"PGI (Protected Geographical Indication) Goat cheese / Undredal Brown Cheese","The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 09 SCA. The cheese is made from April to October and has always been made with milk from the local goats. There are three families belonging to the Undredal Stølsysteri SA. Although they do not pasteurize the milk, they have full authorization for production and sale throughout Europe. Since 2005, the Slowfood Foundation for Biodiversity established here the first Norwegian Presidium for the Brimost cheese. The Presidium (Undredal Brown Cheese Presidium) includes 6 cheese makers of the cooperative plus two shopkeepers of the town that sell the local cheese. They sell the cheese online, in the Undredal's local store, in the annual cheese market in Undredal and in other regions' markets. The VC has great influence in the SES, since the activity is of great importance for the maintenance of natural pastures while the end product is a key asset for the village, attracting many visitors and energising the local enconomy.","norway, europe, cheese, april, october, milk, undredal, authorization, biodiversity, presidium, cooperative, town","https://www.wikidata.org/entity/Q20, http://www.wikidata.org/entity/Q46, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q118, http://www.wikidata.org/entity/Q124, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q1006480, http://www.wikidata.org/entity/Q788590, http://www.wikidata.org/entity/Q47041, http://www.wikidata.org/entity/Q2115302, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q3957",7.102777777,60.949444444,14.76093611111111,64.77964194444445
"Mountain landscape and reference chains","The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Aurland. The MRL covers the Aurland Fiord and the Nærøyfjorden, which are both branches of the world's largest fiord, the Sognefjorden. The area is dominated by fiords and mountains. The Nærøyfjorden is part of The West Norwegian Fjords of Geirangefjord and Nærøyfjord UNESCO World Heritage Site. Most of the urban settlements are small villages in the shore of the fiords and on small river valleys. Aurland's coat of arms depicts a goat, representing the importance of these animals and the cheese made out of their milk for the cultural identity of the MRL. In summer, Undredal hosts a goat cheese festival that attracts hundreds of turists from all around Norway.","norway, aurland, nærøyfjord, shore, river, goat, importance, cheese, milk, undredal, goat cheese","http://www.wikidata.org/entity/Q20, http://www.wikidata.org/entity/Q486700, http://www.wikidata.org/entity/Q212205, http://www.wikidata.org/entity/Q468756, http://www.wikidata.org/entity/Q4022, http://www.wikidata.org/entity/Q2934, http://www.wikidata.org/entity/Q16886469, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q1006480, http://www.wikidata.org/entity/Q198815",7.166667,60.9,14.76093611111111,64.77964194444445
"Geography and population","The size of the area (km2) is 1467.70. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1809. The total population (in thousand) is 1.781. The population density (Inhabitants/km2) in the LAU is 1.21. The population change rate of the LAU in the last 10 years (%) has been 5.86%. The overall regional population density (Inhabitants/km2) is 23.99. The regional population change rate in the last 10 years (%) has been 9.70%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
"Income and gross value added","The average per capita income (EUR/year) [Province] is 53441.89. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5240.53. The primary sector share of total GVA/year [Province] is 7.22%. The secondary sector share of total GVA/year [Province] is 35.46%. The tertiary sector share of total GVA/year [Province] is 57.32%. The per capita income (EUR/year) [Region] is 36281.69. The total Gross Value Added (GVA) (EUR million/year) [Region] is 44203.49. The primary sector share of total GVA/year [Region] is 4.16%. The secondary sector share of total GVA/year [Region] is 26.56%. The tertiary sector share of total GVA/year [Region] is 79.88%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 5001. The regional (Region) share of total BPs/year is 15.93%. The number of agricultural holdings in the LAU is 2792. The nearest settlement with population over 100000 (km) is 168. In this region protected areas are present.","tourism industry",https://www.wikidata.org/entity/Q9323634,7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
Employment,"The primary sector share of total employment/year [Province] is 5.15%. The secondary sector share of total employment/year [Province] is 29.20%. The tertiary sector share of total employment/year [Province] is 63.69%. The primary sector share of total employment/year [Region] is 2.75%. The secondary sector share of total employment/year [Region] is 21.82%. The tertiary sector share of total employment/year [Region] is 75.43%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
"Interest on this VC","This is a high quality product with high reputation nationwide and a result of a long history of connectedness with the natural ecosystem. This cheese is part of the region's cultural heritage and also an important aspect of its identity. Both the website and the online store aim to get access to new consumers.",ecosystem,http://www.wikidata.org/entity/Q37813,7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
"Key local assets","Tha natural assets are the natural pastures and the forage for the winter months. The goats graze in pastures from April till the end of the warm season. In Undfredal (town within the municipality of Aureland), goats and the cheese are both considered as cultural assets and they are part of the territorial identity of the inhabitants. It was not untill 1986 that they had road comunication with other urban settlements, so they used to be completelly dependent on their local dairy production. They celebrate an annual cheese market that hosts many visitors. Besides, this VC is part of Norsk Gardsost, an association of traditional dairies in Norway, as well as being endorsed by a Slowfood Presidium where various actors of the locality are involved. ","norway, town, municipality, cheese, presidium","http://www.wikidata.org/entity/Q20, http://www.wikidata.org/entity/Q3957, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q2115302",11.0,65.0,14.76093611111111,64.77964194444445
Challenges,"To compete with industrial dairies that nowadays are also producing traditional cheeses following industrial methods. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.",,,7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The innovation mostly relates to their website and e-commerce marketing. The innovation is related to New marketing strategies. The land use systems involved are Grassland and Natural land. The local assets include Natural, social and cultural.","innovation, website, e-commerce, marketing, grassland","http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q35127, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q1006733",7.239488584568489,60.858235562700415,14.76093611111111,64.77964194444445
